"intensifier","intensity","low","high"
"acutely",-1.79171718964083,-2.16866875711572,-1.41127181015039
"quite",-1.67331462889777,-1.99315375135423,-1.36330181590614
"decidedly",-1.45046875907598,-1.85504795644803,-1.09670692854917
"totally",-1.43269556601911,-1.77765925157071,-1.13071205074473
"notably",-1.26183535393194,-1.61149466244626,-0.915943242031787
"particularly",-1.25341774965461,-1.57351242080551,-0.904942826167393
"very",-1.24058794850236,-1.57592621451028,-0.900138814564244
"markedly",-0.987225863204361,-1.31158541118536,-0.702601156088001
"awfully",-0.873015145134425,-1.16321039488784,-0.581721868685037
"especially",-0.692821251151343,-0.996268701728093,-0.361072409912504
"mightily",-0.666797082138167,-0.986625429524544,-0.336367913376841
"significantly",-0.582958587060755,-0.931906161459169,-0.260405097975897
"strikingly",-0.447725298668243,-0.770131587946029,-0.145319080095246
"truly",-0.358302963325368,-0.640081456723627,-0.0482444783629309
"uncommonly",-0.242769237324252,-0.605323151039669,0.131721871466399
"remarkably",-0.225467807264633,-0.542468470360364,0.0971832341636847
"seriously",-0.156402380217469,-0.503209742884548,0.222508889231273
"terribly",-0.115050652704237,-0.411135900798788,0.207294371434631
"utterly",-0.105986264783443,-0.497069271471005,0.270619244480935
"intensely",0.0115250810213805,-0.482488788543198,0.449846595375433
"desperately",0.0404016648079292,-0.330047025447601,0.395145450646026
"terrifically",0.0419276488821147,-0.423798136983012,0.506640325679997
"unusually",0.0824576300030108,-0.263712309659834,0.4566130984601
"exceedingly",0.175944003187249,-0.118366056302243,0.456527781521726
"amazingly",0.195401553384098,-0.133351371518932,0.524033116183205
"incredibly",0.231875110902669,-0.108618368708063,0.567482234679945
"surpassingly",0.256135281449675,-0.119264196435337,0.625484038165057
"fantastically",0.304810729933202,-0.0121848106052219,0.644617171622133
"exceptionally",0.388021263713729,0.000382029272529176,0.735164633233872
"radically",0.526075388591302,0.166206734907297,0.900946746271862
"supremely",0.634059838866497,0.321817367815439,0.967080025816726
"excessively",0.747249811831458,0.418056547138868,1.10077395207179
"extremely",0.959745661094917,0.632523443996854,1.27471296049652
"frightfully",1.05707736716873,0.664663737165872,1.4988312633244
"extraordinarily",1.20350235998919,0.833119678773368,1.52601373224534
"astoundingly",1.35180663456608,0.983715777118613,1.69184475575783
"phenomenally",1.60142291543526,1.31431986169048,1.86656143745872
"colossally",1.76175126829403,1.44229207747109,2.08704889873812
"insanely",1.87018659030585,1.54713929216306,2.18229373520544
"outrageously",2.11718192527091,1.77580756404197,2.47761555071812
