workerid	rt	name	intensifier	color	price	item
0	6501	Robert	exceedingly	DF0101	2000	watch
0	8715	Patricia		31B404	1500	laptop
0	6207	Susan	excessively	DF0101	2500	watch
0	3902	Maria	really	31B404	2000	laptop
0	5303	Mary	enormously	0404B4	300	coffee maker
0	3854	Barbara	hugely	31B404	2000	laptop
0	5857	Robert	crazy	0404B4	500	coffee maker
0	3445	Tim	insanely	0404B4	600	coffee maker
0	3527	David	enormously	0404B4	550	coffee maker
0	9047	Linda	really	0404B4	100	coffee maker
0	3030	Sally	exceedingly	31B404	3000	laptop
0	4336	Patricia	wildly	DF0101	500	watch
0	3679	Susan	super	31B404	2000	laptop
0	4758	Michael	horribly	31B404	1500	laptop
0	3375	Patricia	insanely	DF0101	3000	watch
0	6815	Michael	extremely	31B404	2000	laptop
0	4002	Sally	very	31B404	1900	laptop
0	3167	Jennifer	crazy	31B404	2000	laptop
0	3277	Barbara	vastly	DF0101	2000	watch
0	2775	Tim	very	DF0101	1000	watch
0	4031	Elizabeth	quite	31B404	1500	laptop
0	3743	James	quite	0404B4	300	coffee maker
0	2735	Richard	terribly	0404B4	300	coffee maker
0	3887	Mary	insanely	DF0101	4000	watch
0	2894	Barbara	excessively	DF0101	2000	watch
0	4415	John		0404B4	100	coffee maker
0	10816	Linda	extremely	0404B4	300	coffee maker
0	4346	Tim	hugely	0404B4	200	coffee maker
0	2992	Robert	crazy	0404B4	200	coffee maker
0	3567	Maria	quite	DF0101	1000	watch
0	3055	Michael	really	DF0101	1000	watch
0	7412	David	terribly	31B404	2000	laptop
0	2788	Charles	vastly	DF0101	3000	watch
0	96209	Mary	exceedingly	DF0101	1000	watch
0	4178	Elizabeth	hugely	0404B4	200	coffee maker
0	3518	James	horribly	31B404	2000	laptop
0	2950	William	enormously	DF0101	3000	watch
0	3543	Richard	wildly	0404B4	500	coffee maker
0	4647	Jennifer	uncommonly	0404B4	250	coffee maker
0	4480	Richard	uncommonly	31B404	1500	laptop
0	7767	David	very	0404B4	250	coffee maker
0	4735	Linda	extremely	31B404	1500	laptop
0	3096	Charles		DF0101	200	watch
0	5015	John	terribly	31B404	2000	laptop
0	8559	John	wildly	DF0101	3000	watch
0	3024	James	vastly	0404B4	200	coffee maker
0	3566	Jennifer	super	DF0101	1000	watch
0	4464	William	super	31B404	3000	laptop
0	4711	Maria	uncommonly	DF0101	700	watch
0	19168	Charles	excessively	31B404	2000	laptop
0	4256	Sally	horribly	0404B4	200	coffee maker
1	8966	Elizabeth	really	0404B4	200	coffee maker
1	7817	John	insanely	DF0101	5000	watch
1	9859	Sally	extremely	0404B4	200	coffee maker
1	11164	Susan	quite	DF0101	300	watch
1	6366	Mary	super	31B404	5000	laptop
1	6004	Barbara	horribly	0404B4	300	coffee maker
1	5495	Patricia	very	0404B4	150	coffee maker
1	5931	William	really	31B404	1000	laptop
1	9385	Richard	insanely	31B404	5000	laptop
1	7673	Susan	really	31B404	800	laptop
1	6476	Charles	uncommonly	0404B4	400	coffee maker
1	7759	Elizabeth	exceedingly	DF0101	6000	watch
1	6930	Mary	uncommonly	0404B4	200	coffee maker
1	4908	John	crazy	0404B4	400	coffee maker
1	5841	Tim	enormously	31B404	5000	laptop
1	6023	Jennifer	wildly	DF0101	200	watch
1	5632	Maria	vastly	31B404	800	laptop
1	5729	Sally	hugely	31B404	1000	laptop
1	9287	Susan	hugely	31B404	1000	laptop
1	5628	William		DF0101	500	watch
1	5434	Barbara	excessively	DF0101	1000	watch
1	7074	Tim	exceedingly	31B404	1500	laptop
1	4973	Jennifer	super	31B404	2000	laptop
1	5842	William	crazy	DF0101	500	watch
1	5062	Robert	exceedingly	0404B4	200	coffee maker
1	5389	David	terribly	DF0101	300	watch
1	5897	James	super	0404B4	150	coffee maker
1	9778	Patricia	extremely	DF0101	1000	watch
1	4441	Richard	wildly	31B404	800	laptop
1	6240	David	enormously	DF0101	1000	watch
1	8906	Maria	uncommonly	DF0101	500	watch
1	6764	Tim	very	DF0101	500	watch
1	5340	Elizabeth	insanely	31B404	8000	laptop
1	5932	John		DF0101	200	watch
1	6405	Robert	excessively	31B404	5000	laptop
1	6226	Barbara	vastly	31B404	800	laptop
1	5031	James	quite	DF0101	500	watch
1	4499	Charles	very	0404B4	200	coffee maker
1	7084	Michael	horribly	DF0101	1000	watch
1	9411	Michael	crazy	DF0101	200	watch
1	4688	Mary	extremely	0404B4	200	coffee maker
1	7272	Michael		DF0101	200	watch
1	4152	Sally	horribly	0404B4	200	coffee maker
