ngram,frequency
acutely,1
astoundingly,1
amazingly,339
awfully,1046
colossally,113
decidedly,230
desperately,105
especially,1310
exceedingly,3680
exceptionally,562
excessively,2559
extraordinarily,1869
extremely,25902
fantastically,1009
frightfully,1515
incredibly,2225
insanely,238
markedly,1
mightily,1
notably,53
outrageously,2434
particularly,2684
phenomenally,214
quite,26034
radically,1
remarkably,170
seriously,139
significantly,1
supremely,72
surpassingly,1
terribly,4521
terrifically,185
totally,1
truly,195
uncommonly,58
unusually,1178
utterly,1
very,198333
intensely,1
strikingly,1
