workerid	name	adverb	gender	object	response	condition	language	enjoyment	gender	age	comments	asses	education	OS	screenH	screenW	Browser	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.catch_trials	Answer.condition	Answer.time_in_minutes
0	Danielle	particularly	female	laptop	700	extreme	English	1	Male	26		Yes	3	Mac	900	1440	Chrome	3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	34S6YYW6IUSSY6QJXL1UZ1CZSWMSB2	Friends&quotechar Purchases	a 20 minute experiment where you see a lot of scenarios and answer questions about them	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$2.00	Mon Dec 01 05:27:54 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	3600	60000	Wed Dec 31 05:27:54 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	3SKRO2GZ71RCUIKUMPZO77A6O57K1A	0	Approved	Mon Dec 01 22:18:43 PST 2014	Mon Dec 01 05:28:16 PST 2014	Mon Dec 01 05:38:43 PST 2014	Mon Dec 01 05:52:14 PST 2014					[]	{}	10.41945
0	Sean	remarkably	male	laptop	750	extreme	English	1	Male	26		Yes	3	Mac	900	1440	Chrome	3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	34S6YYW6IUSSY6QJXL1UZ1CZSWMSB2	Friends&quotechar Purchases	a 20 minute experiment where you see a lot of scenarios and answer questions about them	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$2.00	Mon Dec 01 05:27:54 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	3600	60000	Wed Dec 31 05:27:54 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	3SKRO2GZ71RCUIKUMPZO77A6O57K1A	0	Approved	Mon Dec 01 22:18:43 PST 2014	Mon Dec 01 05:28:16 PST 2014	Mon Dec 01 05:38:43 PST 2014	Mon Dec 01 05:52:14 PST 2014					[]	{}	10.41945
0	Luis	seriously	male	coffee maker	150	extreme	English	1	Male	26		Yes	3	Mac	900	1440	Chrome	3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	34S6YYW6IUSSY6QJXL1UZ1CZSWMSB2	Friends&quotechar Purchases	a 20 minute experiment where you see a lot of scenarios and answer questions about them	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$2.00	Mon Dec 01 05:27:54 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	3600	60000	Wed Dec 31 05:27:54 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	3SKRO2GZ71RCUIKUMPZO77A6O57K1A	0	Approved	Mon Dec 01 22:18:43 PST 2014	Mon Dec 01 05:28:16 PST 2014	Mon Dec 01 05:38:43 PST 2014	Mon Dec 01 05:52:14 PST 2014					[]	{}	10.41945
0	Lindsey	mightily	female	watch	600	extreme	English	1	Male	26		Yes	3	Mac	900	1440	Chrome	3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	34S6YYW6IUSSY6QJXL1UZ1CZSWMSB2	Friends&quotechar Purchases	a 20 minute experiment where you see a lot of scenarios and answer questions about them	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$2.00	Mon Dec 01 05:27:54 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	3600	60000	Wed Dec 31 05:27:54 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	3SKRO2GZ71RCUIKUMPZO77A6O57K1A	0	Approved	Mon Dec 01 22:18:43 PST 2014	Mon Dec 01 05:28:16 PST 2014	Mon Dec 01 05:38:43 PST 2014	Mon Dec 01 05:52:14 PST 2014					[]	{}	10.41945
0	Cassandra	incredibly	female	laptop	900	extreme	English	1	Male	26		Yes	3	Mac	900	1440	Chrome	3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	34S6YYW6IUSSY6QJXL1UZ1CZSWMSB2	Friends&quotechar Purchases	a 20 minute experiment where you see a lot of scenarios and answer questions about them	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$2.00	Mon Dec 01 05:27:54 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	3600	60000	Wed Dec 31 05:27:54 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	3SKRO2GZ71RCUIKUMPZO77A6O57K1A	0	Approved	Mon Dec 01 22:18:43 PST 2014	Mon Dec 01 05:28:16 PST 2014	Mon Dec 01 05:38:43 PST 2014	Mon Dec 01 05:52:14 PST 2014					[]	{}	10.41945
0	Katie	especially	female	watch	400	extreme	English	1	Male	26		Yes	3	Mac	900	1440	Chrome	3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	34S6YYW6IUSSY6QJXL1UZ1CZSWMSB2	Friends&quotechar Purchases	a 20 minute experiment where you see a lot of scenarios and answer questions about them	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$2.00	Mon Dec 01 05:27:54 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	3600	60000	Wed Dec 31 05:27:54 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	3SKRO2GZ71RCUIKUMPZO77A6O57K1A	0	Approved	Mon Dec 01 22:18:43 PST 2014	Mon Dec 01 05:28:16 PST 2014	Mon Dec 01 05:38:43 PST 2014	Mon Dec 01 05:52:14 PST 2014					[]	{}	10.41945
0	Christian	amazingly	male	laptop	800	extreme	English	1	Male	26		Yes	3	Mac	900	1440	Chrome	3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	34S6YYW6IUSSY6QJXL1UZ1CZSWMSB2	Friends&quotechar Purchases	a 20 minute experiment where you see a lot of scenarios and answer questions about them	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$2.00	Mon Dec 01 05:27:54 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	3600	60000	Wed Dec 31 05:27:54 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	3SKRO2GZ71RCUIKUMPZO77A6O57K1A	0	Approved	Mon Dec 01 22:18:43 PST 2014	Mon Dec 01 05:28:16 PST 2014	Mon Dec 01 05:38:43 PST 2014	Mon Dec 01 05:52:14 PST 2014					[]	{}	10.41945
0	Kathryn	desperately	female	coffee maker	200	extreme	English	1	Male	26		Yes	3	Mac	900	1440	Chrome	3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	34S6YYW6IUSSY6QJXL1UZ1CZSWMSB2	Friends&quotechar Purchases	a 20 minute experiment where you see a lot of scenarios and answer questions about them	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$2.00	Mon Dec 01 05:27:54 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	3600	60000	Wed Dec 31 05:27:54 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	3SKRO2GZ71RCUIKUMPZO77A6O57K1A	0	Approved	Mon Dec 01 22:18:43 PST 2014	Mon Dec 01 05:28:16 PST 2014	Mon Dec 01 05:38:43 PST 2014	Mon Dec 01 05:52:14 PST 2014					[]	{}	10.41945
0	Eric	astoundingly	male	coffee maker	300	extreme	English	1	Male	26		Yes	3	Mac	900	1440	Chrome	3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	34S6YYW6IUSSY6QJXL1UZ1CZSWMSB2	Friends&quotechar Purchases	a 20 minute experiment where you see a lot of scenarios and answer questions about them	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$2.00	Mon Dec 01 05:27:54 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	3600	60000	Wed Dec 31 05:27:54 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	3SKRO2GZ71RCUIKUMPZO77A6O57K1A	0	Approved	Mon Dec 01 22:18:43 PST 2014	Mon Dec 01 05:28:16 PST 2014	Mon Dec 01 05:38:43 PST 2014	Mon Dec 01 05:52:14 PST 2014					[]	{}	10.41945
0	Jose	awfully	male	laptop	1000	extreme	English	1	Male	26		Yes	3	Mac	900	1440	Chrome	3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	34S6YYW6IUSSY6QJXL1UZ1CZSWMSB2	Friends&quotechar Purchases	a 20 minute experiment where you see a lot of scenarios and answer questions about them	language research stanford fun cognitive science university adjectives adverbs linguistics phrase scramble	$2.00	Mon Dec 01 05:27:54 PST 2014	30	0	0	30	Reviewable	NotReviewed	1 cond	3600	60000	Wed Dec 31 05:27:54 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3OZ4VAIBEXFUIQWGLGEZOWMQGI1JVS	3SKRO2GZ71RCUIKUMPZO77A6O57K1A	0	Approved	Mon Dec 01 22:18:43 PST 2014	Mon Dec 01 05:28:16 PST 2014	Mon Dec 01 05:38:43 PST 2014	Mon Dec 01 05:52:14 PST 2014					[]	{}	10.41945
