workerid	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.items	Answer.colors	Answer.language	Answer.comments	Answer.age	Answer.version	Answer.minutes
0	2XBP9RA7S5WSH6715167BJMHML5YTS	2THK2JE1M7PQ09JU9JFZLC04L0ZWPR	Friends&quotechar Purchases	Tell us how much you think some friends have spent on different household items.	language research stanford fun cognitive science university	$1.60	Fri Jan 31 07:35:42 PST 2014	10	0	0	10	Reviewable	NotReviewed	1 cond	3600	60000	Sun Mar 02 07:35:42 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=2XBP9RA7S5WSH6715167BJMHML5YTS	23D0XULRGNTHZ3KPQAWF07N65E8R5W	0	Approved	Sat Feb 01 00:27:45 PST 2014	Fri Jan 31 07:36:52 PST 2014	Fri Jan 31 07:47:45 PST 2014	Fri Jan 31 10:42:57 PST 2014					["coffee maker","laptop","watch"]	["0404B4","31B404","DF0101"]	"English"	""	"50"	"1-24"	10.8427166667
1	2XBP9RA7S5WSH6715167BJMHML5YTS	2THK2JE1M7PQ09JU9JFZLC04L0ZWPR	Friends&quotechar Purchases	Tell us how much you think some friends have spent on different household items.	language research stanford fun cognitive science university	$1.60	Fri Jan 31 07:35:42 PST 2014	10	0	0	10	Reviewable	NotReviewed	1 cond	3600	60000	Sun Mar 02 07:35:42 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=2XBP9RA7S5WSH6715167BJMHML5YTS	2WGFXRDS4IC7UYBQAW6MC1A2LPPYVC	1	Approved	Sat Feb 01 00:28:55 PST 2014	Fri Jan 31 07:36:37 PST 2014	Fri Jan 31 07:48:55 PST 2014	Fri Jan 31 10:42:57 PST 2014					["watch","coffee maker","laptop"]	["31B404","0404B4","DF0101"]	"English"	"Good+Stuff.+Thanks!"	"24"	"1-24"	12.2708333333
2	2XBP9RA7S5WSH6715167BJMHML5YTS	2THK2JE1M7PQ09JU9JFZLC04L0ZWPR	Friends&quotechar Purchases	Tell us how much you think some friends have spent on different household items.	language research stanford fun cognitive science university	$1.60	Fri Jan 31 07:35:42 PST 2014	10	0	0	10	Reviewable	NotReviewed	1 cond	3600	60000	Sun Mar 02 07:35:42 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=2XBP9RA7S5WSH6715167BJMHML5YTS	24DRGNTBJ3MSTX3I2KE6DKHBCG59VZ	2	Approved	Sat Feb 01 00:37:46 PST 2014	Fri Jan 31 07:36:52 PST 2014	Fri Jan 31 07:57:46 PST 2014	Fri Jan 31 10:42:51 PST 2014					["watch","laptop","coffee maker"]	["DF0101","31B404","0404B4"]	"English"	"Corrections%3A+On+the+laptop+question+asking+about+the+TAD+BIT+Expensive+instead+of+%24095+it+should+say+%241095+and+on+the+question+about+the+RELATIVELY+EXPENSIVE+watch+instead+of+%24295+it+should+read+%242595+Comments%3A+This+experiment+was+very+interesting+and+mentally+stimulating.+I+enjoyed+completing+it.+"	"27"	"1-24"	20.8599333333
3	2XBP9RA7S5WSH6715167BJMHML5YTS	2THK2JE1M7PQ09JU9JFZLC04L0ZWPR	Friends&quotechar Purchases	Tell us how much you think some friends have spent on different household items.	language research stanford fun cognitive science university	$1.60	Fri Jan 31 07:35:42 PST 2014	10	0	0	10	Reviewable	NotReviewed	1 cond	3600	60000	Sun Mar 02 07:35:42 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=2XBP9RA7S5WSH6715167BJMHML5YTS	2TLUHYW2GTPF7A5VI9D1H9YSR9ZMRI	3	Approved	Sat Feb 01 00:40:08 PST 2014	Fri Jan 31 07:36:53 PST 2014	Fri Jan 31 08:00:08 PST 2014	Fri Jan 31 10:42:58 PST 2014					["watch","coffee maker","laptop"]	["31B404","DF0101","0404B4"]	"English"	"This+was+interesting."	"19"	"1-24"	18.4594666667
4	2XBP9RA7S5WSH6715167BJMHML5YTS	2THK2JE1M7PQ09JU9JFZLC04L0ZWPR	Friends&quotechar Purchases	Tell us how much you think some friends have spent on different household items.	language research stanford fun cognitive science university	$1.60	Fri Jan 31 07:35:42 PST 2014	10	0	0	10	Reviewable	NotReviewed	1 cond	3600	60000	Sun Mar 02 07:35:42 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=2XBP9RA7S5WSH6715167BJMHML5YTS	2HUJENLVWJ5U5BY18TQ89MWBA8HS01	4	Approved	Sat Feb 01 00:40:53 PST 2014	Fri Jan 31 07:36:39 PST 2014	Fri Jan 31 08:00:53 PST 2014	Fri Jan 31 10:42:58 PST 2014					["coffee maker","laptop","watch"]	["31B404","DF0101","0404B4"]	"English"	""	"30"	"1-24"	24.1183333333
5	2XBP9RA7S5WSH6715167BJMHML5YTS	2THK2JE1M7PQ09JU9JFZLC04L0ZWPR	Friends&quotechar Purchases	Tell us how much you think some friends have spent on different household items.	language research stanford fun cognitive science university	$1.60	Fri Jan 31 07:35:42 PST 2014	10	0	0	10	Reviewable	NotReviewed	1 cond	3600	60000	Sun Mar 02 07:35:42 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=2XBP9RA7S5WSH6715167BJMHML5YTS	2KRHHRRLFQ0U3NTUUEBHZ9EGU5ZPGL	5	Approved	Sat Feb 01 00:41:40 PST 2014	Fri Jan 31 07:36:49 PST 2014	Fri Jan 31 08:01:40 PST 2014	Fri Jan 31 10:42:58 PST 2014					["watch","coffee maker","laptop"]	["0404B4","DF0101","31B404"]	"english"	"Thanks+and+Good+Luck+!!!"	"57"	"1-24"	24.7967166667
6	2XBP9RA7S5WSH6715167BJMHML5YTS	2THK2JE1M7PQ09JU9JFZLC04L0ZWPR	Friends&quotechar Purchases	Tell us how much you think some friends have spent on different household items.	language research stanford fun cognitive science university	$1.60	Fri Jan 31 07:35:42 PST 2014	10	0	0	10	Reviewable	NotReviewed	1 cond	3600	60000	Sun Mar 02 07:35:42 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=2XBP9RA7S5WSH6715167BJMHML5YTS	2QMLF395SW6TW1DVG0PNUBYF49RES9	6	Approved	Sat Feb 01 00:59:13 PST 2014	Fri Jan 31 07:36:46 PST 2014	Fri Jan 31 08:19:13 PST 2014	Fri Jan 31 10:42:58 PST 2014					["watch","coffee maker","laptop"]	["DF0101","0404B4","31B404"]	"English"	""	"31"	"1-24"	19.9907
7	2XBP9RA7S5WSH6715167BJMHML5YTS	2THK2JE1M7PQ09JU9JFZLC04L0ZWPR	Friends&quotechar Purchases	Tell us how much you think some friends have spent on different household items.	language research stanford fun cognitive science university	$1.60	Fri Jan 31 07:35:42 PST 2014	10	0	0	10	Reviewable	NotReviewed	1 cond	3600	60000	Sun Mar 02 07:35:42 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=2XBP9RA7S5WSH6715167BJMHML5YTS	2MPKNQY2RCJQM3XYRG8RBKUIDK1S3W	7	Approved	Sat Feb 01 01:03:04 PST 2014	Fri Jan 31 07:37:01 PST 2014	Fri Jan 31 08:23:04 PST 2014	Fri Jan 31 10:42:58 PST 2014					["coffee maker","watch","laptop"]	["0404B4","31B404","DF0101"]	"English"	""	"35"	"1-24"	19.86855
8	2XBP9RA7S5WSH6715167BJMHML5YTS	2THK2JE1M7PQ09JU9JFZLC04L0ZWPR	Friends&quotechar Purchases	Tell us how much you think some friends have spent on different household items.	language research stanford fun cognitive science university	$1.60	Fri Jan 31 07:35:42 PST 2014	10	0	0	10	Reviewable	NotReviewed	1 cond	3600	60000	Sun Mar 02 07:35:42 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=2XBP9RA7S5WSH6715167BJMHML5YTS	2HWJ79KQW61E344XAS3DF5XCHNGLJO	8	Approved	Sat Feb 01 01:22:32 PST 2014	Fri Jan 31 08:15:53 PST 2014	Fri Jan 31 08:42:32 PST 2014	Fri Jan 31 10:42:59 PST 2014					["watch","coffee maker","laptop"]	["31B404","DF0101","0404B4"]	"english"	""	"49"	"1-24"	26.6158833333
9	2XBP9RA7S5WSH6715167BJMHML5YTS	2THK2JE1M7PQ09JU9JFZLC04L0ZWPR	Friends&quotechar Purchases	Tell us how much you think some friends have spent on different household items.	language research stanford fun cognitive science university	$1.60	Fri Jan 31 07:35:42 PST 2014	10	0	0	10	Reviewable	NotReviewed	1 cond	3600	60000	Sun Mar 02 07:35:42 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=2XBP9RA7S5WSH6715167BJMHML5YTS	2PD6VCPWZ9RTTWGR8EJ73N3DWANAPV	9	Approved	Sat Feb 01 01:45:21 PST 2014	Fri Jan 31 08:09:46 PST 2014	Fri Jan 31 09:05:21 PST 2014	Fri Jan 31 10:40:23 PST 2014					["watch","laptop","coffee maker"]	["DF0101","0404B4","31B404"]	"English"	"Perhaps+a+different+format+where+you+could+return+within+the+time+limit.+I+accidentally+closed+the+window+and+had+to+start+over.+Doesn&quotechart+save+like+other+surveys.+Just+a+suggestion.++"	"34"	"1-24"	35.50265
