workerid	adverb	object	response	condition	name	language	enjoyment	gender	age	comments	asses	education	OS	screenH	screenW	Browser	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.catch_trials	Answer.condition	Answer.time_in_minutes
0	terrifically	coffee maker	40	average	Kenneth	English	1	Female	26		Yes	2	Mac	1440	2560	Chrome	3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3I3MQQJ31SJYM5P18UZR1O83A0AJ1K	Friends&quotechar Purchases	a 5 minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.20	Tue Nov 04 09:58:31 PST 2014	210	0	0	210	Reviewable	NotReviewed	1 cond	1800	60000	Thu Dec 04 09:58:31 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3OJSZ2ATDSWNNLET4ICR6SI1T1375Z	0	Approved	Wed Nov 05 02:40:55 PST 2014	Tue Nov 04 09:59:11 PST 2014	Tue Nov 04 10:00:55 PST 2014	Tue Nov 04 10:30:32 PST 2014					[]	{}	1.6891666667
0	markedly	laptop	500	average	Scott	English	1	Female	26		Yes	2	Mac	1440	2560	Chrome	3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3I3MQQJ31SJYM5P18UZR1O83A0AJ1K	Friends&quotechar Purchases	a 5 minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.20	Tue Nov 04 09:58:31 PST 2014	210	0	0	210	Reviewable	NotReviewed	1 cond	1800	60000	Thu Dec 04 09:58:31 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3OJSZ2ATDSWNNLET4ICR6SI1T1375Z	0	Approved	Wed Nov 05 02:40:55 PST 2014	Tue Nov 04 09:59:11 PST 2014	Tue Nov 04 10:00:55 PST 2014	Tue Nov 04 10:30:32 PST 2014					[]	{}	1.6891666667
0	totally	sweater	40	average	Larry	English	1	Female	26		Yes	2	Mac	1440	2560	Chrome	3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3I3MQQJ31SJYM5P18UZR1O83A0AJ1K	Friends&quotechar Purchases	a 5 minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.20	Tue Nov 04 09:58:31 PST 2014	210	0	0	210	Reviewable	NotReviewed	1 cond	1800	60000	Thu Dec 04 09:58:31 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3OJSZ2ATDSWNNLET4ICR6SI1T1375Z	0	Approved	Wed Nov 05 02:40:55 PST 2014	Tue Nov 04 09:59:11 PST 2014	Tue Nov 04 10:00:55 PST 2014	Tue Nov 04 10:30:32 PST 2014					[]	{}	1.6891666667
0	cracking	headphones	30	average	Ronald	English	1	Female	26		Yes	2	Mac	1440	2560	Chrome	3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3I3MQQJ31SJYM5P18UZR1O83A0AJ1K	Friends&quotechar Purchases	a 5 minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.20	Tue Nov 04 09:58:31 PST 2014	210	0	0	210	Reviewable	NotReviewed	1 cond	1800	60000	Thu Dec 04 09:58:31 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3OJSZ2ATDSWNNLET4ICR6SI1T1375Z	0	Approved	Wed Nov 05 02:40:55 PST 2014	Tue Nov 04 09:59:11 PST 2014	Tue Nov 04 10:00:55 PST 2014	Tue Nov 04 10:30:32 PST 2014					[]	{}	1.6891666667
0	notably	sweater	100	extreme	Robert	English	1	Female	26		Yes	2	Mac	1440	2560	Chrome	3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3I3MQQJ31SJYM5P18UZR1O83A0AJ1K	Friends&quotechar Purchases	a 5 minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.20	Tue Nov 04 09:58:31 PST 2014	210	0	0	210	Reviewable	NotReviewed	1 cond	1800	60000	Thu Dec 04 09:58:31 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3OJSZ2ATDSWNNLET4ICR6SI1T1375Z	0	Approved	Wed Nov 05 02:40:55 PST 2014	Tue Nov 04 09:59:11 PST 2014	Tue Nov 04 10:00:55 PST 2014	Tue Nov 04 10:30:32 PST 2014					[]	{}	1.6891666667
0	strikingly	coffee maker	40	average	William	English	1	Female	26		Yes	2	Mac	1440	2560	Chrome	3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3I3MQQJ31SJYM5P18UZR1O83A0AJ1K	Friends&quotechar Purchases	a 5 minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.20	Tue Nov 04 09:58:31 PST 2014	210	0	0	210	Reviewable	NotReviewed	1 cond	1800	60000	Thu Dec 04 09:58:31 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3OJSZ2ATDSWNNLET4ICR6SI1T1375Z	0	Approved	Wed Nov 05 02:40:55 PST 2014	Tue Nov 04 09:59:11 PST 2014	Tue Nov 04 10:00:55 PST 2014	Tue Nov 04 10:30:32 PST 2014					[]	{}	1.6891666667
0	uncommonly	headphones	150	extreme	Brian	English	1	Female	26		Yes	2	Mac	1440	2560	Chrome	3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3I3MQQJ31SJYM5P18UZR1O83A0AJ1K	Friends&quotechar Purchases	a 5 minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.20	Tue Nov 04 09:58:31 PST 2014	210	0	0	210	Reviewable	NotReviewed	1 cond	1800	60000	Thu Dec 04 09:58:31 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3OJSZ2ATDSWNNLET4ICR6SI1T1375Z	0	Approved	Wed Nov 05 02:40:55 PST 2014	Tue Nov 04 09:59:11 PST 2014	Tue Nov 04 10:00:55 PST 2014	Tue Nov 04 10:30:32 PST 2014					[]	{}	1.6891666667
0	acutely	laptop	500	average	Andrew	English	1	Female	26		Yes	2	Mac	1440	2560	Chrome	3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3I3MQQJ31SJYM5P18UZR1O83A0AJ1K	Friends&quotechar Purchases	a 5 minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.20	Tue Nov 04 09:58:31 PST 2014	210	0	0	210	Reviewable	NotReviewed	1 cond	1800	60000	Thu Dec 04 09:58:31 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3OJSZ2ATDSWNNLET4ICR6SI1T1375Z	0	Approved	Wed Nov 05 02:40:55 PST 2014	Tue Nov 04 09:59:11 PST 2014	Tue Nov 04 10:00:55 PST 2014	Tue Nov 04 10:30:32 PST 2014					[]	{}	1.6891666667
0	very	headphones	30	average	Edward	English	1	Female	26		Yes	2	Mac	1440	2560	Chrome	3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3I3MQQJ31SJYM5P18UZR1O83A0AJ1K	Friends&quotechar Purchases	a 5 minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.20	Tue Nov 04 09:58:31 PST 2014	210	0	0	210	Reviewable	NotReviewed	1 cond	1800	60000	Thu Dec 04 09:58:31 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3OJSZ2ATDSWNNLET4ICR6SI1T1375Z	0	Approved	Wed Nov 05 02:40:55 PST 2014	Tue Nov 04 09:59:11 PST 2014	Tue Nov 04 10:00:55 PST 2014	Tue Nov 04 10:30:32 PST 2014					[]	{}	1.6891666667
0	phenomenally	laptop	2000	extreme	Alexander	English	1	Female	26		Yes	2	Mac	1440	2560	Chrome	3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3I3MQQJ31SJYM5P18UZR1O83A0AJ1K	Friends&quotechar Purchases	a 5 minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.20	Tue Nov 04 09:58:31 PST 2014	210	0	0	210	Reviewable	NotReviewed	1 cond	1800	60000	Thu Dec 04 09:58:31 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PGQRAZX02K4LNABDLAXNWH7U9WYSU	3OJSZ2ATDSWNNLET4ICR6SI1T1375Z	0	Approved	Wed Nov 05 02:40:55 PST 2014	Tue Nov 04 09:59:11 PST 2014	Tue Nov 04 10:00:55 PST 2014	Tue Nov 04 10:30:32 PST 2014					[]	{}	1.6891666667
