workerid	adverb	object	response	condition	name	language	enjoyment	gender	age	comments	asses	education	OS	screenH	screenW	Browser	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.catch_trials	Answer.condition	Answer.time_in_minutes
0	seriously	headphones	30.00	average	Tyler	english	1	Male	30		No	2	Windows	1005	1787	Firefox	385MDVINFCF7XFWLBQJVAY54NIIWJC	385XUCFVXWKO5ZMEC1WC2AQ0H7R4V3	Friends&quotechar Purchases	a 2-minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.10	Tue Nov 04 08:06:27 PST 2014	300	285	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 04 09:52:38 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=385MDVINFCF7XFWLBQJVAY54NIIWJC	358UUM7WRZ3CS8CR1PPU9TNXLJHR7M	0	Approved	Wed Nov 05 00:48:40 PST 2014	Tue Nov 04 08:07:08 PST 2014	Tue Nov 04 08:08:40 PST 2014	Tue Nov 04 09:27:35 PST 2014					[]	{}	1.5074333333333334
0	exceptionally	laptop	699	extreme	Mark	english	1	Male	30		No	2	Windows	1005	1787	Firefox	385MDVINFCF7XFWLBQJVAY54NIIWJC	385XUCFVXWKO5ZMEC1WC2AQ0H7R4V3	Friends&quotechar Purchases	a 2-minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.10	Tue Nov 04 08:06:27 PST 2014	300	285	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 04 09:52:38 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=385MDVINFCF7XFWLBQJVAY54NIIWJC	358UUM7WRZ3CS8CR1PPU9TNXLJHR7M	0	Approved	Wed Nov 05 00:48:40 PST 2014	Tue Nov 04 08:07:08 PST 2014	Tue Nov 04 08:08:40 PST 2014	Tue Nov 04 09:27:35 PST 2014					[]	{}	1.5074333333333334
0	uncommonly	sweater	20	average	Paul	english	1	Male	30		No	2	Windows	1005	1787	Firefox	385MDVINFCF7XFWLBQJVAY54NIIWJC	385XUCFVXWKO5ZMEC1WC2AQ0H7R4V3	Friends&quotechar Purchases	a 2-minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.10	Tue Nov 04 08:06:27 PST 2014	300	285	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 04 09:52:38 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=385MDVINFCF7XFWLBQJVAY54NIIWJC	358UUM7WRZ3CS8CR1PPU9TNXLJHR7M	0	Approved	Wed Nov 05 00:48:40 PST 2014	Tue Nov 04 08:07:08 PST 2014	Tue Nov 04 08:08:40 PST 2014	Tue Nov 04 09:27:35 PST 2014					[]	{}	1.5074333333333334
0	markedly	headphones	30	average	Michael	english	1	Male	30		No	2	Windows	1005	1787	Firefox	385MDVINFCF7XFWLBQJVAY54NIIWJC	385XUCFVXWKO5ZMEC1WC2AQ0H7R4V3	Friends&quotechar Purchases	a 2-minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.10	Tue Nov 04 08:06:27 PST 2014	300	285	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 04 09:52:38 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=385MDVINFCF7XFWLBQJVAY54NIIWJC	358UUM7WRZ3CS8CR1PPU9TNXLJHR7M	0	Approved	Wed Nov 05 00:48:40 PST 2014	Tue Nov 04 08:07:08 PST 2014	Tue Nov 04 08:08:40 PST 2014	Tue Nov 04 09:27:35 PST 2014					[]	{}	1.5074333333333334
0	totally	sweater	20	average	Kevin	english	1	Male	30		No	2	Windows	1005	1787	Firefox	385MDVINFCF7XFWLBQJVAY54NIIWJC	385XUCFVXWKO5ZMEC1WC2AQ0H7R4V3	Friends&quotechar Purchases	a 2-minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.10	Tue Nov 04 08:06:27 PST 2014	300	285	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 04 09:52:38 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=385MDVINFCF7XFWLBQJVAY54NIIWJC	358UUM7WRZ3CS8CR1PPU9TNXLJHR7M	0	Approved	Wed Nov 05 00:48:40 PST 2014	Tue Nov 04 08:07:08 PST 2014	Tue Nov 04 08:08:40 PST 2014	Tue Nov 04 09:27:35 PST 2014					[]	{}	1.5074333333333334
0	surpassingly	coffee maker	15	average	Christopher	english	1	Male	30		No	2	Windows	1005	1787	Firefox	385MDVINFCF7XFWLBQJVAY54NIIWJC	385XUCFVXWKO5ZMEC1WC2AQ0H7R4V3	Friends&quotechar Purchases	a 2-minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.10	Tue Nov 04 08:06:27 PST 2014	300	285	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 04 09:52:38 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=385MDVINFCF7XFWLBQJVAY54NIIWJC	358UUM7WRZ3CS8CR1PPU9TNXLJHR7M	0	Approved	Wed Nov 05 00:48:40 PST 2014	Tue Nov 04 08:07:08 PST 2014	Tue Nov 04 08:08:40 PST 2014	Tue Nov 04 09:27:35 PST 2014					[]	{}	1.5074333333333334
0	radically	headphones	30	average	Scott	english	1	Male	30		No	2	Windows	1005	1787	Firefox	385MDVINFCF7XFWLBQJVAY54NIIWJC	385XUCFVXWKO5ZMEC1WC2AQ0H7R4V3	Friends&quotechar Purchases	a 2-minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.10	Tue Nov 04 08:06:27 PST 2014	300	285	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 04 09:52:38 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=385MDVINFCF7XFWLBQJVAY54NIIWJC	358UUM7WRZ3CS8CR1PPU9TNXLJHR7M	0	Approved	Wed Nov 05 00:48:40 PST 2014	Tue Nov 04 08:07:08 PST 2014	Tue Nov 04 08:08:40 PST 2014	Tue Nov 04 09:27:35 PST 2014					[]	{}	1.5074333333333334
0	insanely	headphones	299	extreme	Daniel	english	1	Male	30		No	2	Windows	1005	1787	Firefox	385MDVINFCF7XFWLBQJVAY54NIIWJC	385XUCFVXWKO5ZMEC1WC2AQ0H7R4V3	Friends&quotechar Purchases	a 2-minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.10	Tue Nov 04 08:06:27 PST 2014	300	285	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 04 09:52:38 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=385MDVINFCF7XFWLBQJVAY54NIIWJC	358UUM7WRZ3CS8CR1PPU9TNXLJHR7M	0	Approved	Wed Nov 05 00:48:40 PST 2014	Tue Nov 04 08:07:08 PST 2014	Tue Nov 04 08:08:40 PST 2014	Tue Nov 04 09:27:35 PST 2014					[]	{}	1.5074333333333334
0	intensely	laptop	1199	extreme	David	english	1	Male	30		No	2	Windows	1005	1787	Firefox	385MDVINFCF7XFWLBQJVAY54NIIWJC	385XUCFVXWKO5ZMEC1WC2AQ0H7R4V3	Friends&quotechar Purchases	a 2-minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.10	Tue Nov 04 08:06:27 PST 2014	300	285	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 04 09:52:38 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=385MDVINFCF7XFWLBQJVAY54NIIWJC	358UUM7WRZ3CS8CR1PPU9TNXLJHR7M	0	Approved	Wed Nov 05 00:48:40 PST 2014	Tue Nov 04 08:07:08 PST 2014	Tue Nov 04 08:08:40 PST 2014	Tue Nov 04 09:27:35 PST 2014					[]	{}	1.5074333333333334
0	terrifically	sweater	20	average	Joshua	english	1	Male	30		No	2	Windows	1005	1787	Firefox	385MDVINFCF7XFWLBQJVAY54NIIWJC	385XUCFVXWKO5ZMEC1WC2AQ0H7R4V3	Friends&quotechar Purchases	a 2-minute long experiment where you guess some prices based on descriptions	language research stanford fun cognitive science university explanations	$0.10	Tue Nov 04 08:06:27 PST 2014	300	285	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 04 09:52:38 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=385MDVINFCF7XFWLBQJVAY54NIIWJC	358UUM7WRZ3CS8CR1PPU9TNXLJHR7M	0	Approved	Wed Nov 05 00:48:40 PST 2014	Tue Nov 04 08:07:08 PST 2014	Tue Nov 04 08:08:40 PST 2014	Tue Nov 04 09:27:35 PST 2014					[]	{}	1.5074333333333334
