workerid,rt,word,word_type,impatient,qtype,response,language,enjoyment,gender,age,comments,assess,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.target,Answer.control,Answer.catch_trials,Answer.time_in_minutes
0,27330,NA,NA,False,NA,NA,English,1,Female,30,,Yes,3,Windows,1350,2400,Firefox,3JYPJ2TAYI8184DOGEEF365G763FPS,3TGL8109GQQAPDO1O1SOI0DV6F79T8,A visit to a cousin accross the country,a 5 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.40,Mon Jan 26 11:30:49 PST 2015,80,0,0,80,Reviewable,NotReviewed,1 cond,3600,0,Wed Feb 25 11:30:49 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI8184DOGEEF365G763FPS,354P56DE9K3OTNC4GEPZZ3STAO37S2,0,Approved,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:31:23 PST 2015,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:38:36 PST 2015,,,,,"""truly""","""very""",[],2.750566666666667
0,34904,NA,NA,False,NA,NA,English,1,Female,30,,Yes,3,Windows,1350,2400,Firefox,3JYPJ2TAYI8184DOGEEF365G763FPS,3TGL8109GQQAPDO1O1SOI0DV6F79T8,A visit to a cousin accross the country,a 5 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.40,Mon Jan 26 11:30:49 PST 2015,80,0,0,80,Reviewable,NotReviewed,1 cond,3600,0,Wed Feb 25 11:30:49 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI8184DOGEEF365G763FPS,354P56DE9K3OTNC4GEPZZ3STAO37S2,0,Approved,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:31:23 PST 2015,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:38:36 PST 2015,,,,,"""truly""","""very""",[],2.750566666666667
0,17605,NA,NA,False,NA,NA,English,1,Female,30,,Yes,3,Windows,1350,2400,Firefox,3JYPJ2TAYI8184DOGEEF365G763FPS,3TGL8109GQQAPDO1O1SOI0DV6F79T8,A visit to a cousin accross the country,a 5 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.40,Mon Jan 26 11:30:49 PST 2015,80,0,0,80,Reviewable,NotReviewed,1 cond,3600,0,Wed Feb 25 11:30:49 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI8184DOGEEF365G763FPS,354P56DE9K3OTNC4GEPZZ3STAO37S2,0,Approved,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:31:23 PST 2015,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:38:36 PST 2015,,,,,"""truly""","""very""",[],2.750566666666667
0,18731,truly,target,NA,price,100,English,1,Female,30,,Yes,3,Windows,1350,2400,Firefox,3JYPJ2TAYI8184DOGEEF365G763FPS,3TGL8109GQQAPDO1O1SOI0DV6F79T8,A visit to a cousin accross the country,a 5 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.40,Mon Jan 26 11:30:49 PST 2015,80,0,0,80,Reviewable,NotReviewed,1 cond,3600,0,Wed Feb 25 11:30:49 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI8184DOGEEF365G763FPS,354P56DE9K3OTNC4GEPZZ3STAO37S2,0,Approved,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:31:23 PST 2015,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:38:36 PST 2015,,,,,"""truly""","""very""",[],2.750566666666667
0,18731,very,control,NA,price,75,English,1,Female,30,,Yes,3,Windows,1350,2400,Firefox,3JYPJ2TAYI8184DOGEEF365G763FPS,3TGL8109GQQAPDO1O1SOI0DV6F79T8,A visit to a cousin accross the country,a 5 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.40,Mon Jan 26 11:30:49 PST 2015,80,0,0,80,Reviewable,NotReviewed,1 cond,3600,0,Wed Feb 25 11:30:49 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI8184DOGEEF365G763FPS,354P56DE9K3OTNC4GEPZZ3STAO37S2,0,Approved,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:31:23 PST 2015,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:38:36 PST 2015,,,,,"""truly""","""very""",[],2.750566666666667
0,18731,bare,bare,NA,price,50,English,1,Female,30,,Yes,3,Windows,1350,2400,Firefox,3JYPJ2TAYI8184DOGEEF365G763FPS,3TGL8109GQQAPDO1O1SOI0DV6F79T8,A visit to a cousin accross the country,a 5 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.40,Mon Jan 26 11:30:49 PST 2015,80,0,0,80,Reviewable,NotReviewed,1 cond,3600,0,Wed Feb 25 11:30:49 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI8184DOGEEF365G763FPS,354P56DE9K3OTNC4GEPZZ3STAO37S2,0,Approved,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:31:23 PST 2015,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:38:36 PST 2015,,,,,"""truly""","""very""",[],2.750566666666667
0,15959,truly,target,NA,frequency,400,English,1,Female,30,,Yes,3,Windows,1350,2400,Firefox,3JYPJ2TAYI8184DOGEEF365G763FPS,3TGL8109GQQAPDO1O1SOI0DV6F79T8,A visit to a cousin accross the country,a 5 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.40,Mon Jan 26 11:30:49 PST 2015,80,0,0,80,Reviewable,NotReviewed,1 cond,3600,0,Wed Feb 25 11:30:49 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI8184DOGEEF365G763FPS,354P56DE9K3OTNC4GEPZZ3STAO37S2,0,Approved,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:31:23 PST 2015,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:38:36 PST 2015,,,,,"""truly""","""very""",[],2.750566666666667
0,15959,very,control,NA,frequency,10,English,1,Female,30,,Yes,3,Windows,1350,2400,Firefox,3JYPJ2TAYI8184DOGEEF365G763FPS,3TGL8109GQQAPDO1O1SOI0DV6F79T8,A visit to a cousin accross the country,a 5 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.40,Mon Jan 26 11:30:49 PST 2015,80,0,0,80,Reviewable,NotReviewed,1 cond,3600,0,Wed Feb 25 11:30:49 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI8184DOGEEF365G763FPS,354P56DE9K3OTNC4GEPZZ3STAO37S2,0,Approved,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:31:23 PST 2015,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:38:36 PST 2015,,,,,"""truly""","""very""",[],2.750566666666667
0,15959,yep,yep,NA,frequency,200,English,1,Female,30,,Yes,3,Windows,1350,2400,Firefox,3JYPJ2TAYI8184DOGEEF365G763FPS,3TGL8109GQQAPDO1O1SOI0DV6F79T8,A visit to a cousin accross the country,a 5 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.40,Mon Jan 26 11:30:49 PST 2015,80,0,0,80,Reviewable,NotReviewed,1 cond,3600,0,Wed Feb 25 11:30:49 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI8184DOGEEF365G763FPS,354P56DE9K3OTNC4GEPZZ3STAO37S2,0,Approved,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:31:23 PST 2015,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:38:36 PST 2015,,,,,"""truly""","""very""",[],2.750566666666667
0,30020,NA,NA,NA,summary,They promised the kid the tree if they could get it out of the ground. Then a storm came and knocked it over and the kid got part of it.,English,1,Female,30,,Yes,3,Windows,1350,2400,Firefox,3JYPJ2TAYI8184DOGEEF365G763FPS,3TGL8109GQQAPDO1O1SOI0DV6F79T8,A visit to a cousin accross the country,a 5 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.40,Mon Jan 26 11:30:49 PST 2015,80,0,0,80,Reviewable,NotReviewed,1 cond,3600,0,Wed Feb 25 11:30:49 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3JYPJ2TAYI8184DOGEEF365G763FPS,354P56DE9K3OTNC4GEPZZ3STAO37S2,0,Approved,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:31:23 PST 2015,Mon Jan 26 11:34:11 PST 2015,Mon Jan 26 11:38:36 PST 2015,,,,,"""truly""","""very""",[],2.750566666666667
