workerid,rt,word,word_type,impatient,qtype,response,language,enjoyment,gender,age,comments,assess,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.dialect,Answer.target,Answer.control,Answer.catch_trials,Answer.time_in_minutes
0,16475,NA,NA,False,NA,NA,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
0,20554,NA,NA,False,NA,NA,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
0,11568,NA,NA,False,NA,NA,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
0,29561,truly,control,NA,price,150,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
0,29561,very,target,NA,price,100,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
0,29561,bare,bare,NA,price,75,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
0,14307,truly,control,NA,frequency,1,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
0,14307,very,target,NA,frequency,4,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
0,14307,tree,tree,NA,frequency,2,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
0,24116,NA,NA,NA,summary,Jim had a new kitchen.  A tree fell over into his old one after a friend&quotechars son said he wanted the tree for himself.,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
0,5709,NA,NA,NA,dialect,2,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
0,5709,NA,NA,NA,excitable,2,English,2,Male,28,,Yes,3,Windows,1050,1680,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3AWETUDC92SIJJFEUXN4MLF5B4OZIA,0,Approved,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:17:52 PST 2015,Thu Jan 15 11:20:25 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"english","very","truly",[],2.4510666666666667
1,26595,NA,NA,False,NA,NA,English,2,Female,23,Great HIT!,Yes,3,Windows,1024,1280,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3NG53N1RLVJVG91VY2DBIYJDY9CP87,1,Approved,Thu Jan 15 11:20:29 PST 2015,Thu Jan 15 11:17:43 PST 2015,Thu Jan 15 11:20:29 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"other","truly","very",[],2.7516
1,22906,NA,NA,False,NA,NA,English,2,Female,23,Great HIT!,Yes,3,Windows,1024,1280,Chrome,3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3YTXXXR8DBXG9OR9CGXUQVNLXJEX4G,A visit to a cousin,an 8 minute experiment where you read a comic and answer questions about it,language research stanford fun cognitive science university adjectives adverbs linguistics,$0.70,Thu Jan 15 11:17:30 PST 2015,113,0,3,110,Unassignable,NotReviewed,1 cond,3600,0,Sat Feb 14 11:17:30 PST 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3KTCJ4SCVG14XMM3HZ72X07RXZ61MQ,3NG53N1RLVJVG91VY2DBIYJDY9CP87,1,Approved,Thu Jan 15 11:20:29 PST 2015,Thu Jan 15 11:17:43 PST 2015,Thu Jan 15 11:20:29 PST 2015,Thu Jan 15 11:23:36 PST 2015,,,,,"other","truly","very",[],2.7516
